Test ID,User Input,Ground Truth Intent,Predicted Intent,Failure Category,Ground Truth,Judge Prediction,Judge Reasoning,Match?
t012,I never received my order and I want my money back.,refund_request,order_status,REFUND_MISSED,True,True,"The user is asking for a refund, but the predicted intent is order_status, not refund_request.",True
t013,I haven't received my order yet — please refund me.,refund_request,order_status,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was order_status, not refund_request.",True
t014,Still no package. I want a refund.,refund_request,order_status,REFUND_MISSED,True,True,"The user explicitly asked for a refund, but the predicted intent was order_status, not refund_request.",True
t015,Order shows delivered but I never got it. Refund please.,refund_request,order_status,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was not refund_request.",True
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,order_status,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was order_status, not refund_request.",True
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,order_status,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was not refund_request.",True
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,account_help,ORDER_STATUS_MISSED,False,False,"The user is reporting a delivery issue, not requesting a refund.",True
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,account_help,ORDER_STATUS_MISSED,False,False,"The user is reporting a delivery issue, not explicitly requesting a refund.",True
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,other,REFUND_MISSED,True,True,"The user is asking about a post-purchase price adjustment, but the predicted intent is not refund_request.",True
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,other,REFUND_MISSED,True,True,"The user is asking about a post-purchase price adjustment, but the predicted intent was not refund_request.",True
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,REFUND_MISSED,True,True,"The user is asking about a post-purchase price adjustment, which is a refund-related query, but the predicted intent was not refund_request.",True
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,account_help,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was not refund_request.",True
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,account_help,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was not refund_request.",True
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,account_help,REFUND_MISSED,True,True,"The user explicitly requested a refund, but the predicted intent was not refund_request.",True
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,other,OTHER,False,False,"The user is expressing dissatisfaction with a product description, not requesting a refund.",True
t103,Site logs me out every time I try to pay.,account_help,product_issue,ACCOUNT_HELP_CONFUSION,False,False,"The user is reporting a technical issue with the payment process, not requesting a refund.",True
t105,Your app keeps crashing whenever I try to view my order history.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user is reporting a technical issue with the app, not requesting a refund.",True
t106,App crashes every time I open my order history.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user is reporting a technical issue with the app, not requesting a refund.",True
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,ACCOUNT_HELP_CONFUSION,False,False,"The user is inquiring about a discount code issue, not a refund.",True
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,ACCOUNT_HELP_CONFUSION,False,False,"The user input is about a promo code issue, not a refund request.",True
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,ACCOUNT_HELP_CONFUSION,False,False,"The user is inquiring about a promo code issue, not a refund.",True
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user is inquiring about an order status, not a refund.",True
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user is inquiring about the order status, not explicitly requesting a refund.",True
t119,Email says my purchase went through but I don't see the order in my account.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user is inquiring about the status of their order, not requesting a refund.",True
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,order_status,OTHER,False,False,"The user is providing feedback on shipping costs, not requesting a refund.",True
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,order_status,OTHER,False,False,The user is expressing a general concern about shipping costs without requesting a refund or adjustment.,True
t144,Are the AirPods you sell authentic Apple products?,other,product_issue,OTHER,False,False,"The user is inquiring about product authenticity, not a refund.",True
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,product_issue,OTHER,False,False,"The user is inquiring about product authenticity, not a refund.",True
t146,Are these AirPods real Apple gear or knock-offs?,other,product_issue,OTHER,False,False,"The user is inquiring about the authenticity of a product, not requesting a refund.",True
