id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t001,"Hey, placed an order for a blender 5 days back and the tracking still shows nothing. Where is it?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t002,"So I ordered a blender on Monday, supposedly it shipped, but the tracking page is dead. What's going on?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,baseline,v1,,
t003,My package was supposed to arrive yesterday but it's still not here. Order #44812.,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t004,Order #44812 was due yesterday and hasn't shown up. Any update?,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t005,Where's my package? Was supposed to arrive yesterday — order #44812 if that helps.,order_status,order_status,The customer is inquiring about the status and delivery of their order.,True,baseline,v1,,
t006,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t007,"Hey, the tracking link you emailed me for order 88421 doesn't load — just keeps spinning. Help?",order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t008,Tracking URL is broken. Order 88421. Can you tell me where the package is?,order_status,order_status,The customer is inquiring about the status and location of their order.,True,baseline,v1,,
t009,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t010,My order is marked delivered as of last Tuesday but it's nowhere to be found. Help.,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t011,"Says delivered Tuesday — checked the porch, the neighbors, the mailroom. Nothing. What do I do?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t012,I never received my order and I want my money back.,refund_request,refund_request,The customer is requesting a refund because they did not receive their order.,True,baseline,v1,,
t013,I haven't received my order yet — please refund me.,refund_request,refund_request,The customer is requesting a refund due to not receiving their order.,True,baseline,v1,,
t014,Still no package. I want a refund.,refund_request,refund_request,The customer is requesting a refund due to not receiving their package.,True,baseline,v1,,
t015,Order shows delivered but I never got it. Refund please.,refund_request,refund_request,The customer is requesting a refund for an order that was marked as delivered but not received.,True,baseline,v1,,
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,refund_request,The customer is requesting a refund due to not receiving their package.,True,baseline,v1,,
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,refund_request,The customer is requesting a refund due to not receiving their order.,True,baseline,v1,,
t018,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the delay in their order delivery.,True,baseline,v1,,
