Test ID,User Input,Ground Truth Intent,Predicted Intent,Failure Category,Ground Truth,Judge Prediction,Judge Reasoning,Match?
t012,I never received my order and I want my money back.,refund_request,order_status,REFUND_MISSED,True,True,User explicitly requests their money back (a refund) but the classifier labeled it as order_status instead of refund_request.,True
t013,I haven't received my order yet — please refund me.,refund_request,order_status,REFUND_MISSED,True,True,User explicitly asks for a refund after ordering but the classifier returned order_status instead of refund_request.,True
t014,Still no package. I want a refund.,refund_request,order_status,REFUND_MISSED,True,True,"User explicitly asks for a refund for a missing package, but the classifier predicted order_status instead of refund_request.",True
t015,Order shows delivered but I never got it. Refund please.,refund_request,order_status,REFUND_MISSED,True,True,User explicitly requests a refund ('Refund please') but the classifier predicted order_status instead of refund_request.,True
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,order_status,REFUND_MISSED,True,True,"The user explicitly asks for a refund for a delivered-but-missing package, but the classifier returned order_status instead, so the refund intent was missed.",True
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,order_status,REFUND_MISSED,True,True,User explicitly asks for a refund ('Just refund me') but the classifier returned 'order_status' instead of 'refund_request'.,True
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,account_help,ORDER_STATUS_MISSED,False,False,"The user describes a delivery/address issue and does not ask about a refund, credit, or money-back, so this is not a Refund_Missed instance.",True
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,account_help,ORDER_STATUS_MISSED,False,False,"User is reporting a wrong delivery/address issue and does not request a refund, credit, or charge reversal, so this is not a Refund_Missed instance.",True
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,other,REFUND_MISSED,True,True,"User explicitly asks for a post-purchase price difference/refund but the classifier labeled the intent as 'other', so this is a Refund_Missed.",True
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,other,REFUND_MISSED,True,True,User is asking for a post-purchase price adjustment/refund (getting the difference) but the intent was classified as 'other'.,True
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,REFUND_MISSED,True,True,"User explicitly asks about a post-purchase price adjustment/refund but the classifier predicted 'other', so this is a Refund_Missed error.",True
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,account_help,REFUND_MISSED,True,True,"User explicitly requests a post-purchase refund for this month's charge, but the predicted intent is account_help instead of refund_request.",True
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,account_help,REFUND_MISSED,True,True,"User explicitly requests a refund for the current month while asking to cancel, but the classifier labeled it as account_help instead of refund_request.",True
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,account_help,REFUND_MISSED,True,True,"User explicitly asks for a refund of this month's subscription but the model predicted account_help instead, so this is a missed refund intent.",True
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,other,OTHER,False,False,"User is expressing being misled about product features and extra cost but does not ask for a refund, credit, or price adjustment.",True
t103,Site logs me out every time I try to pay.,account_help,product_issue,ACCOUNT_HELP_CONFUSION,False,False,"The user reports being logged out during payment (a technical/product issue) and does not ask for a refund, credit, or money-back.",True
t105,Your app keeps crashing whenever I try to view my order history.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user reports an app crash when viewing order history and does not ask about refunds or money-back, so this is not a refund-missed case.",True
t106,App crashes every time I open my order history.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user describes an app crash when opening order history and does not ask for a refund, credit, or price adjustment, so this is not a Refund_Missed error.",True
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,ACCOUNT_HELP_CONFUSION,False,False,"The user reports a discount code failing at checkout and is not requesting a refund, credit, or money-back, so this is not a Refund_Missed instance.",True
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,ACCOUNT_HELP_CONFUSION,False,False,"The user is reporting a promo-code checkout error, not requesting a refund or money-back, so this is not a Refund_Missed instance.",True
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,ACCOUNT_HELP_CONFUSION,False,False,"User is asking about a promo code validity, not requesting a refund or money-back; labeling as 'other' is appropriate.",True
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"The user is asking why a purchased order isn't appearing in their account (order visibility/status), not requesting a refund or money back.",True
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"User is asking why an order/receipt isn't shown in their account (order visibility), not requesting a refund or credit, so this is not a Refund_Missed case.",True
t119,Email says my purchase went through but I don't see the order in my account.,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,False,"User is asking about a missing order in their account (order status/visibility), not requesting a refund or money back.",True
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,order_status,OTHER,False,False,"The user is providing general feedback about shipping costs and not requesting a refund or money-back, so this is not a Refund_Missed error.",True
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,order_status,OTHER,False,False,"User is just venting about shipping costs with no request for a refund or mention of a specific order/payment, so this is not a Refund_Missed case.",True
t144,Are the AirPods you sell authentic Apple products?,other,product_issue,OTHER,False,False,"The user asks about product authenticity, not requesting a refund or money-back, so this is not a Refund_Missed error.",True
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,product_issue,OTHER,False,False,"The user asks about product authenticity (whether the AirPods are genuine Apple), not requesting a refund or any money-back/price-adjustment, so this is not a Refund_Missed case.",True
t146,Are these AirPods real Apple gear or knock-offs?,other,product_issue,OTHER,False,False,"The user asks about product authenticity (real vs knock-off), not requesting a refund or money-back, so this is not a missed refund intent.",True
