Test ID,Ground Truth Intent,Predicted Intent,gpt-4o: Failure Category,gpt-4o: Judge Prediction,gpt-4o: Match?,gpt-5-mini: Failure Category,gpt-5-mini: Judge Prediction,gpt-5-mini: Match?
t012,refund_request,order_status,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t013,refund_request,order_status,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t014,refund_request,order_status,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t015,refund_request,order_status,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t016,refund_request,order_status,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t017,refund_request,order_status,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t024,order_status,account_help,ORDER_STATUS_MISSED,False,True,ORDER_STATUS_MISSED,False,True
t025,order_status,account_help,ORDER_STATUS_MISSED,False,True,ORDER_STATUS_MISSED,False,True
t048,refund_request,other,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t049,refund_request,other,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t050,refund_request,other,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t051,refund_request,account_help,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t052,refund_request,account_help,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t053,refund_request,account_help,REFUND_MISSED,True,True,REFUND_MISSED,True,True
t079,product_issue,other,OTHER,False,True,OTHER,False,True
t103,account_help,product_issue,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t105,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t106,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t114,account_help,other,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t115,account_help,other,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t116,account_help,other,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t117,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t118,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t119,account_help,order_status,ACCOUNT_HELP_CONFUSION,False,True,ACCOUNT_HELP_CONFUSION,False,True
t141,other,order_status,OTHER,False,True,OTHER,False,True
t143,other,order_status,OTHER,False,True,OTHER,False,True
t144,other,product_issue,OTHER,False,True,OTHER,False,True
t145,other,product_issue,OTHER,False,True,OTHER,False,True
t146,other,product_issue,OTHER,False,True,OTHER,False,True
