Test ID,User Input,Ground Truth Intent,Predicted Intent,Failure Category,Ground Truth,Judge Prediction,Judge Reasoning,Match?
t012,I never received my order and I want my money back.,refund_request,order_status,,,,,
t013,I haven't received my order yet — please refund me.,refund_request,order_status,,,,,
t014,Still no package. I want a refund.,refund_request,order_status,,,,,
t015,Order shows delivered but I never got it. Refund please.,refund_request,order_status,,,,,
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,order_status,,,,,
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,order_status,,,,,
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,account_help,,,,,
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,account_help,,,,,
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,other,,,,,
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,other,,,,,
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,,,,,
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,account_help,,,,,
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,account_help,,,,,
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,account_help,,,,,
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,other,,,,,
t103,Site logs me out every time I try to pay.,account_help,product_issue,,,,,
t105,Your app keeps crashing whenever I try to view my order history.,account_help,order_status,,,,,
t106,App crashes every time I open my order history.,account_help,order_status,,,,,
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,,,,,
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,,,,,
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,,,,,
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,order_status,,,,,
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,order_status,,,,,
t119,Email says my purchase went through but I don't see the order in my account.,account_help,order_status,,,,,
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,order_status,,,,,
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,order_status,,,,,
t144,Are the AirPods you sell authentic Apple products?,other,product_issue,,,,,
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,product_issue,,,,,
t146,Are these AirPods real Apple gear or knock-offs?,other,product_issue,,,,,
